Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
181	63.85775	64.808	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	68.48795	33.909637	 
182	63.853493	64.78738	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	68.55143	33.442856	 
183	63.84102	64.806564	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	69.03049	33.530487	 
184	63.833458	64.798836	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	69.43374	33.31928	 
185	63.819828	64.79302	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	69.903725	33.61801	 
186	63.821243	64.79062	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	70.07485	33.793415	 
187	63.823353	64.78897	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	69.80061	33.54908	 
188	63.84042	64.825745	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	69.05696	33.879745	 
189	63.859016	64.78084	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	68.40588	34.317646	 
190	63.876175	64.81053	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	67.87952	34.421688	 
191	63.888905	64.84153	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	67.14744	34.102566	 
192	63.89615	64.83289	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	67.09036	34.198795	 
193	63.893665	64.81957	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	67.02761	34.684048	 
194	63.90025	64.81038	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	66.83129	34.690186	 
195	63.917915	64.799164	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	66.3924	35.05696	 
196	63.93738	64.765076	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	65.96745	35.33432	 
197	63.915997	64.807594	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	66.152176	35.052795	 
198	63.912796	64.77361	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	66.41411	35.076687	 
199	63.912514	64.77377	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	66.43023	35.534885	 
200	63.926617	64.799934	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	65.96342	35.536587	 
